significantWaveHeight,peakPeriod,meanPeriod,peakDirection,peakDirectionalSpread,meanDirection,meanDirectionalSpread,timestamp,latitude,longitude
2.43,25.6,17.9,191.699,63.009,172.317,66.009,2022-04-05T05:40:25.000Z,22.30492,39.10282
1.72,20.48,13.26,149.899,77.806,245.501,77.514,2022-04-05T06:10:25.000Z,22.28633,39.11785
1.97,20.48,14.48,80.233,75.968,89.538,75.959,2022-04-05T06:40:25.000Z,22.30473,39.10302
0.14,20.48,4.56,13.285,74.94,310.101,80.039,2022-04-05T07:10:25.000Z,22.30465,39.10352
0.07,20.48,5.08,147.745,76.052,190.146,77.112,2022-04-05T07:40:25.000Z,22.30465,39.10358
0.02,20.48,2.92,63.083,71.847,71.384,76.956,2022-04-05T08:10:25.000Z,22.30467,39.10358
0.07,11.36,7.08,105.313,73.809,86.73,78.202,2022-04-05T08:40:25.000Z,22.30468,39.10358
0.03,25.6,5.88,216.254,79.541,222.274,80.438,2022-04-05T09:10:25.000Z,22.30467,39.10358
0.07,25.6,7.76,227.69,76.738,260.311,77.664,2022-04-05T09:40:25.000Z,22.30467,39.10358
0.04,25.6,2.18,267.99,78.737,198.435,79.384,2022-04-05T10:10:25.000Z,22.30467,39.10358
0.04,20.48,1.98,199.654,77.415,163.686,79.319,2022-04-05T10:40:25.000Z,22.3047,39.10358
0.03,20.48,1.78,110.556,74.69,107.038,78.418,2022-04-05T11:10:25.000Z,22.30468,39.10357
0.12,25.6,3.48,154.134,76.547,134.145,79.13,2022-04-05T12:10:25.000Z,22.3047,39.10357
0.09,14.62,2.6,112.671,77.564,62.301,79.219,2022-04-05T12:40:25.000Z,22.30467,39.10357
0.06,1.5,1.88,16.699,80.197,172.235,80.144,2022-04-05T13:10:25.000Z,22.30467,39.10357
0.02,14.62,2.76,167.179,74.908,169.249,77.779,2022-04-05T13:40:25.000Z,22.30472,39.10355
0.02,25.6,2.94,184.028,78.159,204.905,79.797,2022-04-05T14:10:25.000Z,22.30472,39.10355
0.02,25.6,3.58,281.064,73.451,271.614,78.165,2022-04-05T15:10:25.000Z,22.30468,39.10357
0.01,25.6,2.7,342.198,76.36,339.228,79.791,2022-04-05T15:40:25.000Z,22.30465,39.10362
0.03,11.36,5.3,130.054,74.954,126.634,79.08,2022-04-05T16:40:25.000Z,22.30472,39.10357
0.01,20.48,6.44,316.245,78.409,251.565,80.778,2022-04-05T17:10:25.000Z,22.3047,39.10357
0.06,25.6,10.28,53.973,78.289,77.347,79.015,2022-04-05T17:40:25.000Z,22.30468,39.10362
0.01,25.6,3.2,85.354,68.872,81.069,75.207,2022-04-05T18:10:25.000Z,22.30468,39.10357
0.03,20.48,5.86,267.138,80.231,41.186,79.756,2022-04-05T18:40:25.000Z,22.30467,39.10358
0.02,2.32,2.2,124.992,76.554,20.072,78.805,2022-04-05T19:10:25.000Z,22.30467,39.10357
0.05,25.6,8.28,310.553,75.804,350.707,78.79,2022-04-05T20:10:25.000Z,22.30473,39.10358
0.06,20.48,9.22,333.304,72.859,343.934,75.702,2022-04-05T20:40:25.000Z,22.30468,39.10363
0.06,17.06,8.5,108.435,76.121,85.462,78.486,2022-04-05T21:10:25.000Z,22.30472,39.10362
0.04,11.36,5.92,18.51,70.774,3.424,76.245,2022-04-05T21:40:25.000Z,22.30472,39.1036
0.05,25.6,10.4,118.875,74.625,120.114,78.706,2022-04-05T22:10:25.000Z,22.30472,39.1036
0.05,17.06,8.6,112.353,76.309,68.587,78.829,2022-04-05T22:40:25.000Z,22.3047,39.10353
0.03,25.6,7.68,168.179,77.471,171.119,77.084,2022-04-05T23:10:25.000Z,22.30467,39.10355
0.02,20.48,10.72,184.399,80.51,288.435,80.652,2022-04-05T23:40:25.000Z,22.30465,39.1036
0.05,25.6,9.12,282.529,79.926,252.474,80.235,2022-04-06T00:10:25.000Z,22.30468,39.10358
0.07,25.6,10.56,212.502,69.008,196.75,76.65,2022-04-06T00:40:25.000Z,22.30468,39.10357
0.08,25.6,10.7,121.464,77.856,360.0,79.791,2022-04-06T01:10:25.000Z,22.30468,39.10357
0.03,25.6,4.8,165.619,68.97,164.261,76.368,2022-04-06T01:40:25.000Z,22.30465,39.10358
0.11,25.6,13.42,185.816,76.609,172.342,76.125,2022-04-06T02:40:25.000Z,22.30467,39.10358
0.06,20.48,9.86,319.514,78.865,266.186,80.431,2022-04-06T03:10:25.000Z,22.30467,39.10358
0.01,17.06,3.72,253.179,79.229,208.217,79.164,2022-04-06T03:40:25.000Z,22.30465,39.10357
0.02,25.6,3.44,132.709,79.615,92.726,80.192,2022-04-06T04:10:25.000Z,22.30465,39.10358
0.07,25.6,10.52,115.32,76.846,108.97,78.302,2022-04-06T04:40:25.000Z,22.30465,39.10358
0.06,20.48,8.74,187.465,75.014,160.346,79.243,2022-04-06T05:40:25.000Z,22.30465,39.1036
0.01,10.24,2.84,231.654,77.571,278.82,78.67,2022-04-06T06:40:25.000Z,22.30467,39.1036
0.02,17.06,4.66,120.828,75.092,101.31,80.624,2022-04-06T08:10:25.000Z,22.30467,39.10358
0.06,25.6,3.94,81.469,77.759,35.218,78.517,2022-04-06T08:40:25.000Z,22.30468,39.10358
0.05,1.26,2.3,244.716,71.785,212.8,78.88,2022-04-06T10:10:25.000Z,22.30467,39.10358
0.06,25.6,2.72,102.265,77.21,104.859,78.995,2022-04-06T10:40:25.000Z,22.30468,39.1036
0.06,20.48,3.54,246.371,80.334,161.075,79.55,2022-04-06T11:10:25.000Z,22.30468,39.1036
0.02,25.6,2.76,34.484,76.123,86.424,80.391,2022-04-06T11:40:25.000Z,22.3047,39.10358
0.05,20.48,3.78,185.515,75.038,147.529,77.869,2022-04-06T12:10:25.000Z,22.3047,39.10358
0.03,17.06,3.88,26.565,78.965,259.695,80.584,2022-04-06T12:40:25.000Z,22.30468,39.1036
0.03,6.02,4.16,246.666,76.503,194.534,79.916,2022-04-06T13:40:25.000Z,22.30472,39.10357
0.02,20.48,2.98,299.974,70.517,320.194,78.834,2022-04-06T14:10:25.000Z,22.30472,39.10357
0.04,10.24,3.74,331.798,77.866,101.31,80.826,2022-04-06T14:40:25.000Z,22.30472,39.10358
0.01,25.6,3.76,231.34,77.662,189.039,79.244,2022-04-06T15:10:25.000Z,22.30472,39.10358
0.03,17.06,6.24,7.431,80.105,159.444,80.349,2022-04-06T15:40:25.000Z,22.3047,39.1036
0.02,6.02,3.58,273.077,77.252,160.974,79.804,2022-04-06T16:10:25.000Z,22.3047,39.10358
0.02,14.62,3.7,319.6,78.546,11.889,80.256,2022-04-06T16:40:25.000Z,22.3047,39.10358
0.08,20.48,10.76,297.759,78.436,149.49,78.412,2022-04-06T17:10:25.000Z,22.3047,39.10358
0.04,7.86,4.98,299.427,73.594,78.486,78.816,2022-04-06T17:40:25.000Z,22.30468,39.10362
0.02,6.4,3.6,138.871,77.205,53.31,78.469,2022-04-06T18:10:25.000Z,22.3047,39.10357
0.03,6.82,4.72,291.251,79.484,13.57,79.838,2022-04-06T19:10:25.000Z,22.30468,39.10362
0.04,9.3,6.3,214.624,76.88,92.291,80.031,2022-04-06T19:40:25.000Z,22.3047,39.10358
0.05,11.36,6.96,134.229,74.522,225.0,80.804,2022-04-06T20:10:25.000Z,22.30465,39.1036
0.08,25.6,10.62,15.027,74.669,6.009,77.943,2022-04-06T20:40:25.000Z,22.30472,39.10358
0.07,25.6,10.4,18.435,74.231,360.0,78.207,2022-04-06T21:10:25.000Z,22.3047,39.1036
0.04,11.36,6.8,69.507,76.729,337.891,79.649,2022-04-06T21:40:25.000Z,22.3047,39.1036
0.03,12.8,6.46,13.021,74.24,15.945,78.092,2022-04-06T22:10:25.000Z,22.30472,39.1036
0.03,25.6,5.34,309.806,77.551,317.911,79.357,2022-04-06T22:40:25.000Z,22.3047,39.10353
0.05,17.06,7.62,189.462,77.834,248.429,79.176,2022-04-06T23:10:25.000Z,22.30468,39.10353
0.08,25.6,11.02,234.189,77.074,251.98,77.495,2022-04-06T23:40:25.000Z,22.30468,39.10355
0.06,25.6,10.5,289.12,77.821,305.166,78.868,2022-04-07T00:10:25.000Z,22.3047,39.10357
0.07,25.6,9.14,334.558,76.378,161.565,80.147,2022-04-07T01:40:25.000Z,22.30465,39.1036
0.15,25.6,14.52,166.49,74.492,162.997,70.296,2022-04-07T02:10:25.000Z,22.30468,39.10358
0.09,20.48,11.24,142.292,74.835,146.768,76.799,2022-04-07T02:40:25.000Z,22.30467,39.10358
0.07,25.6,10.48,216.085,78.084,182.083,78.819,2022-04-07T03:10:25.000Z,22.30465,39.10357
0.06,25.6,9.6,163.724,75.164,154.654,78.491,2022-04-07T03:40:25.000Z,22.30467,39.10357
0.05,25.6,6.62,133.636,76.177,168.408,79.436,2022-04-07T04:10:25.000Z,22.30465,39.10358
0.03,25.6,7.22,184.635,76.491,164.787,76.206,2022-04-07T04:40:25.000Z,22.30463,39.10357
0.1,25.6,12.42,46.017,76.148,66.371,78.213,2022-04-07T05:10:25.000Z,22.30462,39.10357
0.03,25.6,6.8,225.0,80.354,252.181,79.855,2022-04-07T05:40:25.000Z,22.30463,39.1036
0.01,1.62,2.56,165.273,73.514,74.358,79.994,2022-04-07T06:10:25.000Z,22.30463,39.1036
0.02,2.42,2.18,127.349,77.149,186.34,79.215,2022-04-07T06:40:25.000Z,22.30465,39.10358
0.03,3.1,2.88,170.036,74.841,130.601,79.555,2022-04-07T07:40:25.000Z,22.30465,39.10358
0.05,2.76,3.92,98.361,42.931,83.66,74.293,2022-04-07T08:10:25.000Z,22.30465,39.10358
0.06,20.48,4.38,96.483,75.584,110.614,76.277,2022-04-07T08:40:25.000Z,22.30467,39.10358
0.01,1.26,2.28,223.603,73.817,185.553,78.111,2022-04-07T09:10:25.000Z,22.30467,39.10358
0.02,25.6,3.18,333.435,78.051,267.51,80.112,2022-04-07T09:40:25.000Z,22.30467,39.10357
0.04,2.84,2.72,202.001,76.683,217.117,79.17,2022-04-07T10:10:25.000Z,22.30467,39.10357
0.02,20.48,2.52,360.0,78.002,139.399,80.295,2022-04-07T10:40:25.000Z,22.30465,39.10353
0.03,25.6,3.32,196.113,77.229,155.726,78.782,2022-04-07T11:10:25.000Z,22.30468,39.10353
0.06,25.6,12.68,355.601,80.51,172.875,79.416,2022-04-07T11:40:25.000Z,22.3047,39.10357
0.05,20.48,4.08,314.193,74.826,254.476,80.285,2022-04-07T12:10:25.000Z,22.30467,39.10355
0.03,25.6,3.62,101.239,74.464,90.0,78.942,2022-04-07T13:10:25.000Z,22.3047,39.10357
0.03,25.6,6.32,328.57,73.124,325.054,76.914,2022-04-07T13:40:25.000Z,22.30468,39.10355
0.02,14.62,3.26,104.621,75.168,95.44,79.34,2022-04-07T14:10:25.000Z,22.30472,39.10357
0.04,10.24,5.2,91.245,75.364,158.629,79.048,2022-04-07T14:40:25.000Z,22.3047,39.10355
0.03,20.48,3.98,163.072,76.119,157.457,78.723,2022-04-07T15:10:25.000Z,22.3047,39.10357
0.01,25.6,3.82,176.647,70.141,181.061,76.631,2022-04-07T15:40:25.000Z,22.3047,39.10358
0.05,3.52,2.88,119.745,55.667,111.19,70.732,2022-04-07T16:10:25.000Z,22.3047,39.10358
0.02,20.48,2.64,94.865,77.202,82.185,78.963,2022-04-07T16:40:25.000Z,22.3047,39.1036
0.01,25.6,4.24,134.244,69.609,133.589,75.127,2022-04-07T17:10:25.000Z,22.30468,39.10363
0.06,25.6,8.58,208.113,77.682,177.709,79.022,2022-04-07T17:40:25.000Z,22.3047,39.10357
0.01,25.6,3.74,347.031,74.02,312.221,78.087,2022-04-07T18:10:25.000Z,22.3047,39.10357
0.01,10.24,2.92,8.427,75.43,360.0,79.226,2022-04-07T18:40:25.000Z,22.30467,39.10358
0.08,25.6,11.68,273.347,73.934,271.637,78.206,2022-04-07T19:10:25.000Z,22.30467,39.10355
0.05,14.62,7.5,297.104,75.166,277.125,78.762,2022-04-07T19:40:25.000Z,22.3047,39.10357
0.06,25.6,9.36,77.905,80.459,351.87,80.748,2022-04-07T20:10:25.000Z,22.3047,39.10358
0.06,25.6,9.88,22.209,73.444,23.629,77.493,2022-04-07T20:40:25.000Z,22.3047,39.1036
0.06,25.6,10.02,23.962,74.527,17.199,77.468,2022-04-07T21:10:25.000Z,22.3047,39.10358
0.02,25.6,5.74,223.103,76.681,192.633,78.639,2022-04-07T21:40:25.000Z,22.30468,39.10358
0.02,20.48,4.86,22.548,73.33,21.209,78.13,2022-04-07T22:10:25.000Z,22.30467,39.10358
0.07,25.6,10.66,84.254,74.431,74.32,76.195,2022-04-07T22:40:25.000Z,22.30465,39.1036
0.03,8.52,4.5,155.799,77.067,125.311,78.664,2022-04-07T23:10:25.000Z,22.30467,39.10357
0.06,17.06,7.98,285.751,79.407,143.13,79.832,2022-04-07T23:40:25.000Z,22.30468,39.10357
0.06,20.48,9.46,180.535,76.674,209.932,79.506,2022-04-08T00:10:25.000Z,22.30468,39.10357
0.08,25.6,11.32,334.167,75.281,331.294,79.109,2022-04-08T00:40:25.000Z,22.30467,39.10357
0.08,25.6,11.5,360.0,80.152,261.254,80.506,2022-04-08T01:10:25.000Z,22.30467,39.10357
0.04,25.6,5.74,157.891,75.359,133.727,77.154,2022-04-08T01:40:25.000Z,22.30463,39.10355
0.07,25.6,8.62,171.815,74.96,170.018,75.836,2022-04-08T02:10:25.000Z,22.30467,39.10355
0.04,25.6,5.42,357.759,71.333,60.255,80.709,2022-04-08T02:40:25.000Z,22.30465,39.10357
0.06,25.6,8.8,160.809,73.045,142.237,77.39,2022-04-08T03:10:25.000Z,22.30465,39.10358
0.01,17.06,4.42,189.462,80.787,341.996,79.345,2022-04-08T03:40:25.000Z,22.30467,39.10357
0.05,25.6,8.38,234.834,78.868,312.274,79.243,2022-04-08T04:10:25.000Z,22.30467,39.10358
0.05,25.6,8.78,199.799,79.969,165.069,78.531,2022-04-08T04:40:25.000Z,22.30465,39.10358
0.09,25.6,10.64,185.194,79.705,128.66,80.008,2022-04-08T05:10:25.000Z,22.30465,39.10357
0.04,25.6,5.2,166.701,78.758,212.276,80.134,2022-04-08T05:40:25.000Z,22.30465,39.1036
0.03,25.6,3.32,163.982,71.903,180.0,77.961,2022-04-08T06:10:25.000Z,22.30465,39.1036
0.03,1.28,1.76,330.751,79.886,175.601,79.989,2022-04-08T06:40:25.000Z,22.30467,39.10358
0.04,1.26,2.22,173.601,76.646,28.61,80.03,2022-04-08T07:40:25.000Z,22.30465,39.10358
0.09,17.06,5.84,76.171,78.333,75.763,78.243,2022-04-08T08:10:25.000Z,22.30467,39.10358
0.13,25.6,9.72,6.216,76.9,1.245,79.185,2022-04-08T08:40:25.000Z,22.30468,39.10358
0.03,1.28,1.76,99.36,73.361,141.667,78.828,2022-04-08T09:10:25.000Z,22.30468,39.10358
0.04,1.26,2.34,314.576,77.155,285.068,78.867,2022-04-08T09:40:25.000Z,22.3047,39.10358
0.05,20.48,2.58,281.041,75.903,138.366,80.55,2022-04-08T10:10:25.000Z,22.30468,39.10358
0.1,17.06,4.34,219.341,77.842,228.752,77.529,2022-04-08T11:10:25.000Z,22.3047,39.10357
0.06,12.8,2.18,158.569,71.345,148.266,77.409,2022-04-08T11:40:25.000Z,22.30473,39.1036
0.1,20.48,2.76,136.123,79.587,90.0,78.535,2022-04-08T12:10:25.000Z,22.30472,39.1036
0.06,25.6,2.64,170.796,71.842,177.905,77.711,2022-04-08T12:40:25.000Z,22.30472,39.10358
0.09,1.48,1.94,131.505,64.677,142.481,78.182,2022-04-08T13:10:25.000Z,22.30472,39.10357
0.09,1.46,2.08,270.494,76.296,151.991,78.892,2022-04-08T13:40:25.000Z,22.30468,39.10355
0.05,1.32,1.78,38.66,78.713,157.38,79.992,2022-04-08T14:10:25.000Z,22.3047,39.10357
0.03,1.32,1.66,80.722,72.471,131.348,79.699,2022-04-08T14:40:25.000Z,22.3047,39.10357
0.04,2.76,2.4,116.835,59.356,125.599,76.623,2022-04-08T15:10:25.000Z,22.3047,39.10357
0.02,20.48,4.46,1.469,77.877,342.897,80.488,2022-04-08T15:40:25.000Z,22.3047,39.10358
0.02,6.4,3.5,162.933,76.159,143.973,79.396,2022-04-08T16:10:25.000Z,22.30468,39.10358
0.02,11.36,3.4,249.444,79.663,354.289,80.629,2022-04-08T16:40:25.000Z,22.30468,39.10358
0.03,7.86,4.46,296.565,80.584,123.887,77.766,2022-04-08T17:10:25.000Z,22.3047,39.1036
0.03,20.48,4.42,65.225,76.957,58.955,76.119,2022-04-08T17:40:25.000Z,22.30467,39.10358
0.05,10.24,7.06,91.716,69.651,81.747,75.605,2022-04-08T18:10:25.000Z,22.30472,39.10358
0.02,6.02,3.46,17.734,72.375,1.469,76.253,2022-04-08T18:40:25.000Z,22.30468,39.10355
0.05,11.36,7.0,334.863,75.126,11.31,79.808,2022-04-08T19:10:25.000Z,22.3047,39.1036
0.04,25.6,8.66,85.38,76.995,143.549,76.573,2022-04-08T19:40:25.000Z,22.30472,39.1036
0.04,11.36,5.78,215.754,74.68,277.352,78.514,2022-04-08T20:10:25.000Z,22.30472,39.1036
0.07,25.6,11.1,139.439,74.624,207.324,78.308,2022-04-08T20:40:25.000Z,22.30473,39.1036
0.04,17.06,7.68,153.536,70.272,171.656,74.784,2022-04-08T21:10:25.000Z,22.30472,39.10358
0.05,20.48,9.78,328.696,77.523,335.726,78.782,2022-04-08T21:40:25.000Z,22.30472,39.1036
0.05,20.48,9.28,357.732,76.921,360.0,77.796,2022-04-08T22:10:25.000Z,22.30468,39.1036
0.02,17.06,4.2,256.695,74.763,306.304,78.584,2022-04-08T22:40:25.000Z,22.3047,39.10353
0.06,25.6,9.54,9.462,80.303,291.448,79.828,2022-04-08T23:10:25.000Z,22.30467,39.10353
0.05,20.48,8.04,228.155,77.385,191.31,77.52,2022-04-08T23:40:25.000Z,22.30467,39.10355
0.05,14.62,7.26,185.412,77.157,155.225,79.309,2022-04-09T00:10:25.000Z,22.30467,39.10355
0.07,25.6,10.38,214.439,75.819,236.155,76.869,2022-04-09T00:40:25.000Z,22.30465,39.10357
0.06,20.48,8.66,108.789,76.864,168.69,80.624,2022-04-09T01:10:25.000Z,22.30467,39.10357
0.07,25.6,10.04,169.824,67.314,173.13,74.112,2022-04-09T01:40:25.000Z,22.30463,39.10358
0.13,25.6,13.74,170.577,70.97,169.274,71.294,2022-04-09T02:10:25.000Z,22.30473,39.10357
0.07,25.6,9.9,299.745,80.065,201.371,80.044,2022-04-09T02:40:25.000Z,22.30465,39.10355
0.02,20.48,5.74,174.094,77.487,178.531,77.877,2022-04-09T03:10:25.000Z,22.30465,39.10355
0.01,20.48,4.86,43.561,75.248,8.616,76.961,2022-04-09T03:40:25.000Z,22.30465,39.10355
0.07,25.6,10.64,115.974,79.292,185.194,78.811,2022-04-09T04:40:25.000Z,22.30465,39.10353
0.08,25.6,10.4,244.898,76.019,223.556,77.623,2022-04-09T05:10:25.000Z,22.30465,39.10355
0.05,17.06,7.36,149.036,78.447,297.897,80.263,2022-04-09T05:40:25.000Z,22.30465,39.10357
0.01,25.6,2.36,27.979,79.58,135.0,80.635,2022-04-09T06:10:25.000Z,22.30467,39.10357
0.01,2.32,2.06,174.526,70.84,186.953,79.376,2022-04-09T06:40:25.000Z,22.30467,39.10355
0.01,10.24,2.76,121.608,77.947,18.435,80.4,2022-04-09T07:10:25.000Z,22.30467,39.10357
0.01,17.06,4.76,95.711,77.779,119.476,78.908,2022-04-09T07:40:25.000Z,22.30467,39.10357
0.07,25.6,4.78,60.819,77.457,66.801,79.813,2022-04-09T08:10:25.000Z,22.30467,39.10357
0.06,20.48,2.42,100.66,77.527,133.264,79.158,2022-04-09T08:40:25.000Z,22.30468,39.10357
0.09,1.46,1.98,244.983,76.302,138.652,79.699,2022-04-09T09:40:25.000Z,22.30468,39.10357
0.07,25.6,2.06,187.667,78.923,180.0,79.791,2022-04-09T10:10:25.000Z,22.30468,39.10355
