degrees,latitude,longitude,timestamp
29.48,22.3046833,39.1035833,2022-04-06T00:10:25.000Z
29.44,22.3046833,39.1035667,2022-04-06T01:10:25.000Z
29.38,22.3046667,39.1035667,2022-04-06T02:10:25.000Z
29.36,22.3046667,39.1035833,2022-04-06T03:10:25.000Z
29.36,22.30465,39.1035833,2022-04-06T04:10:25.000Z
29.42,22.3046333,39.1035833,2022-04-06T05:10:25.000Z
29.6,22.30465,39.1036,2022-04-06T06:10:25.000Z
29.82,22.3046667,39.1036,2022-04-06T07:10:25.000Z
30.04,22.3046667,39.1035833,2022-04-06T08:10:25.000Z
30.28,22.3046833,39.1035833,2022-04-06T09:10:25.000Z
30.46,22.3046667,39.1035833,2022-04-06T10:10:25.000Z
30.42,22.3046833,39.1036,2022-04-06T11:10:25.000Z
30.54,22.3047,39.1035833,2022-04-06T12:10:25.000Z
30.32,22.3047,39.1035667,2022-04-06T13:10:25.000Z
30.24,22.3047167,39.1035667,2022-04-06T14:10:25.000Z
30.3,22.3047167,39.1035833,2022-04-06T15:10:25.000Z
30.42,22.3047,39.1035833,2022-04-06T16:10:25.000Z
30.26,22.3047,39.1035833,2022-04-06T17:10:25.000Z
29.8,22.3047,39.1035667,2022-04-06T18:10:25.000Z
30.3,22.3046833,39.1036167,2022-04-06T19:10:25.000Z
30.26,22.30465,39.1036,2022-04-06T20:10:25.000Z
30.2,22.3047,39.1036,2022-04-06T21:10:25.000Z
30.14,22.3047167,39.1036,2022-04-06T22:10:25.000Z
30.06,22.3046833,39.1035333,2022-04-06T23:10:25.000Z
30.04,22.3047,39.1035667,2022-04-07T00:10:25.000Z
30.02,22.3046667,39.1035667,2022-04-07T01:10:25.000Z
29.96,22.3046833,39.1035833,2022-04-07T02:10:25.000Z
29.9,22.30465,39.1035667,2022-04-07T03:10:25.000Z
29.88,22.30465,39.1035833,2022-04-07T04:10:25.000Z
30.08,22.3046167,39.1035667,2022-04-07T05:10:25.000Z
30.06,22.3046333,39.1036,2022-04-07T06:10:25.000Z
30.24,22.30465,39.1035833,2022-04-07T07:10:25.000Z
30.42,22.30465,39.1035833,2022-04-07T08:10:25.000Z
30.64,22.3046667,39.1035833,2022-04-07T09:10:25.000Z
30.86,22.3046667,39.1035667,2022-04-07T10:10:25.000Z
31.12,22.3046833,39.1035333,2022-04-07T11:10:25.000Z
31.14,22.3046667,39.10355,2022-04-07T12:10:25.000Z
31.08,22.3047,39.1035667,2022-04-07T13:10:25.000Z
30.92,22.3047167,39.1035667,2022-04-07T14:10:25.000Z
30.76,22.3047,39.1035667,2022-04-07T15:10:25.000Z
30.74,22.3047,39.1035833,2022-04-07T16:10:25.000Z
30.72,22.3046833,39.1036333,2022-04-07T17:10:25.000Z
30.66,22.3047,39.1035667,2022-04-07T18:10:25.000Z
30.58,22.3046667,39.10355,2022-04-07T19:10:25.000Z
30.52,22.3047,39.1035833,2022-04-07T20:10:25.000Z
30.48,22.3047,39.1035833,2022-04-07T21:10:25.000Z
30.4,22.3046667,39.1035833,2022-04-07T22:10:25.000Z
30.32,22.3046667,39.1035667,2022-04-07T23:10:25.000Z
30.26,22.3046833,39.1035667,2022-04-08T00:10:25.000Z
30.22,22.3046667,39.1035667,2022-04-08T01:10:25.000Z
30.18,22.3046667,39.10355,2022-04-08T02:10:25.000Z
30.1,22.30465,39.1035833,2022-04-08T03:10:25.000Z
30.18,22.3046667,39.1035833,2022-04-08T04:10:25.000Z
30.32,22.30465,39.1035667,2022-04-08T05:10:25.000Z
30.3,22.30465,39.1036,2022-04-08T06:10:25.000Z
30.5,22.30465,39.1035833,2022-04-08T07:10:25.000Z
30.68,22.3046667,39.1035833,2022-04-08T08:10:25.000Z
30.92,22.3046833,39.1035833,2022-04-08T09:10:25.000Z
31.06,22.3046833,39.1035833,2022-04-08T10:10:25.000Z
31.0,22.3047,39.1035667,2022-04-08T11:10:25.000Z
30.96,22.3047167,39.1036,2022-04-08T12:10:25.000Z
30.9,22.3047167,39.1035667,2022-04-08T13:10:25.000Z
30.82,22.3047,39.1035667,2022-04-08T14:10:25.000Z
30.72,22.3047,39.1035667,2022-04-08T15:10:25.000Z
30.6,22.3046833,39.1035833,2022-04-08T16:10:25.000Z
30.52,22.3047,39.1036,2022-04-08T17:10:25.000Z
30.46,22.3047167,39.1035833,2022-04-08T18:10:25.000Z
30.36,22.3047,39.1036,2022-04-08T19:10:25.000Z
30.1,22.3047167,39.1036,2022-04-08T20:10:25.000Z
30.22,22.3047167,39.1035833,2022-04-08T21:10:25.000Z
30.22,22.3046833,39.1036,2022-04-08T22:10:25.000Z
30.18,22.3046667,39.1035333,2022-04-08T23:10:25.000Z
30.16,22.3046667,39.10355,2022-04-09T00:10:25.000Z
30.06,22.3046667,39.1035667,2022-04-09T01:10:25.000Z
29.96,22.3047333,39.1035667,2022-04-09T02:10:25.000Z
29.94,22.30465,39.10355,2022-04-09T03:10:25.000Z
29.92,22.30465,39.1035667,2022-04-09T04:10:25.000Z
30.04,22.30465,39.10355,2022-04-09T05:10:25.000Z
30.18,22.3046667,39.1035667,2022-04-09T06:10:25.000Z
30.48,22.3046667,39.1035667,2022-04-09T07:10:25.000Z
30.54,22.3046667,39.1035667,2022-04-09T08:10:25.000Z
30.64,22.3046833,39.1035833,2022-04-09T09:10:25.000Z
30.76,22.3046833,39.10355,2022-04-09T10:10:25.000Z
30.76,22.3046833,39.10355,2022-04-09T11:10:25.000Z
30.78,22.3046833,39.1035833,2022-04-09T12:10:25.000Z
30.76,22.3046833,39.10355,2022-04-09T13:10:25.000Z
30.66,22.3046833,39.10355,2022-04-09T14:10:25.000Z
30.56,22.3047,39.1035667,2022-04-09T15:10:25.000Z
30.5,22.3046833,39.1035833,2022-04-09T16:10:25.000Z
30.42,22.3046833,39.1035667,2022-04-09T17:10:25.000Z
30.34,22.3047,39.1035667,2022-04-09T18:10:25.000Z
30.24,22.3046667,39.10355,2022-04-09T19:10:25.000Z
30.18,22.3046667,39.10355,2022-04-09T20:10:25.000Z
30.18,22.3046667,39.10355,2022-04-09T21:10:25.000Z
30.02,22.30465,39.1035667,2022-04-09T22:10:25.000Z
29.94,22.3046667,39.1035833,2022-04-09T23:10:25.000Z
